37.1,24.9,55,455,38.3,26.3,0.669
45.3,31.4,88,185,37.9,11.2,0.909
40.4,33.6,237,170,68.3,25.3,0.985
35.5,24,75,122,53.9,14.3,0.548
42.6,29.2,284,197,72.8,29.8,0.543
44.2,32.4,98,65,62.5,30.5,0.925
42,27.9,486,406,44.8,29.9,0.926
34.4,24.2,413,134,40.8,34.4,0.714
35.3,29.1,323,387,70.1,32.5,0.553
49.2,27.8,424,128,59,29.7,0.801
45.6,28.7,378,313,65.3,53.4,0.794
49.5,32,446,153,74.1,65.7,0.783
42.4,25.8,464,239,43.2,9.8,0.597
41.8,31.7,177,74,70.3,13.4,0.82
46.9,23.6,265,36,62,39.7,0.527
38.8,26.7,382,227,56.2,12.1,0.686
50.1,23,286,95,46.3,33,0.587
39.8,29.9,125,295,59.6,31.1,0.62
40.7,28.5,60,174,40.6,24.4,0.743
47.5,32.2,490,399,63.2,6.4,0.671
45,22.9,155,32,51,21,0.631
39.3,26.3,309,49,66.1,52.2,0.51
44.6,24,475,445,50,41.3,0.729
48.3,27,327,141,54.5,30.3,0.937
49.7,33.2,220,182,74.7,9.4,0.558
39.6,30.5,212,42,68.2,30.6,0.875
36.9,32.8,499,257,39,15.3,0.788
37.7,24.5,194,162,58,31.1,0.953
40.1,27.3,246,139,60.6,16.7,0.897
46,25.5,143,100,61.4,28.9,0.57
41.5,28.3,68,374,42.3,10.4,0.52
38.5,30.3,448,337,43.8,40.7,0.885
36,32.5,210,383,45.2,34.5,0.807
39.9,32.6,170,458,61.3,22.2,0.653
34.7,24.3,396,211,73.8,66.7,0.693
43.8,32.3,149,470,51.9,45.4,0.972
42.2,32.1,279,275,56.6,17.3,0.832
35.3,26.1,461,109,48.6,13.9,0.512
44.9,25.4,46,85,59,41.2,0.601
48.8,25.2,110,158,49.4,2.5,0.919
43.3,32.8,161,80,38.4,36.4,0.683
46.1,24.8,242,54,72.1,42.2,0.766
47.9,25.4,420,419,63.6,9.7,0.948
43.9,29.3,182,202,45.5,6.6,0.52
38.8,25.9,222,484,67.3,25.2,0.894
42.9,26.8,189,317,63.1,30.2,0.539
38.4,26.5,476,44,65.6,7.4,0.966
35.8,30.8,304,492,57.6,11.4,0.721
41.3,33,403,439,64,38,0.837
38.2,33.1,137,62,60,19.9,0.611
36.8,23.2,373,425,67,29.1,0.636
39,27.5,387,437,51.4,41.4,0.644
33.8,28.1,488,359,45.9,31.1,0.75
39.2,28.6,320,216,44.1,27.1,0.504
37.6,30.9,435,367,75.7,66.5,0.995
36.6,33.3,202,379,55.7,35,0.531
40.5,30.1,470,495,47.5,3.1,0.628
48.1,31.9,29,303,62.3,12.8,0.931
41.6,28.4,167,307,39.4,3.4,0.904
43.6,25,342,343,72.8,57.1,0.978
47.6,26.6,438,328,50.9,28.9,0.814
37.3,29.6,353,102,49.8,36.9,0.855
50.2,24.4,86,394,43.6,13.8,0.981
33.7,24.7,234,268,71.4,53.8,0.648
41.1,31.3,92,411,41.1,4.5,0.876
45.4,26.9,129,253,55.5,14.5,0.679
49.6,31.5,390,464,47.1,24,0.658
36.3,31,367,362,42.7,6.8,0.958
47.3,23.7,131,226,67.7,54.4,0.61
40.9,25.7,452,199,53.2,21.3,0.775
46.6,29.8,428,417,69.1,59.2,0.703
44.4,31.1,350,475,64.6,55.8,0.86
49.9,26.2,414,149,41.7,17.8,0.581
37.9,27.7,404,166,66.6,46.2,0.576
42.7,29.4,184,72,52.6,4.5,0.848
34.1,30.4,270,288,58.6,36.4,0.734
48.9,30.1,366,350,50.3,45.8,0.568
37.3,30,256,318,56.7,19.8,0.911
46.5,27.6,103,479,54.2,29.6,0.719
34.1,22.6,255,289,60.2,26.8,0.662
35.9,27.2,315,281,39.8,10.1,0.777
47.2,29,111,333,46.5,35.9,0.756
48.6,28.9,338,489,40.1,29,0.817
46.9,24.5,72,232,55,50.7,0.762
35,31.2,261,265,41.9,7.5,0.737
47.8,23.4,21,428,73.2,36.4,0.591
34.9,26.2,335,218,47.6,44.6,0.842
36.2,23.7,82,246,71.9,53.6,0.796
34.6,25.3,39,116,57.3,18.5,0.707
43.5,31.7,303,242,69.5,50.6,0.96
48.5,30.6,35,112,70.5,16.4,0.827
44.2,27.4,292,20,48.2,40.5,0.616
45.7,22.5,204,88,71,24.6,0.87
38.1,28.1,295,403,68.9,5,0.991
44.7,22.7,33,354,65.1,11,0.749
42,23.1,121,27,52.3,6.9,0.858
49.2,29.6,150,191,74.7,48.9,0.564
46.3,22.8,53,324,49,26.6,0.7
40.2,23.4,227,448,75.1,48.4,0.942
43.1,33.4,357,273,53.5,31,0.887
